INCIDENT_NUMBER,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,DAY_OF_WEEK,HOUR,Lat,Long
252097151,,INVESTIGATE PROPERTY,D14,Saturday ,23,42.337358437621376,-71.14815254027685
232054142,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,Sunday   ,23,42.34481181867248,-71.08234323767634
232054091,,SICK ASSIST,B3,Sunday   ,18,42.29773099076287,-71.07962699957326
232054113,,M/V ACCIDENT - PROPERTY DAMAGE,B2,Sunday   ,20,42.31113698853749,-71.08227666730002
232053990,,LARCENY SHOPLIFTING,D4,Saturday ,18,42.3473097976345,-71.0791516658207
232054056,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,Sunday   ,0,42.34128750439044,-71.05467932649397
232054108,,SICK ASSIST,D4,Sunday   ,19,42.33401828958511,-71.07638123930862
232053944,,INVESTIGATE PERSON,B2,Sunday   ,0,42.32521400159257,-71.07493897595052
252096869,,LARCENY SHOPLIFTING,C11,Friday   ,21,42.27357720483551,-71.06770430263478
232054124,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,Sunday   ,21,42.31893877984039,-71.09826196966804
232054105,,M/V ACCIDENT - PROPERTY DAMAGE,D4,Sunday   ,19,42.34522200095541,-71.09536093925487
232054085,,INVESTIGATE PROPERTY,D14,Sunday   ,18,42.34279307058374,-71.14627684251963
232053933,,VANDALISM,B3,Sunday   ,1,42.28482576580487,-71.09137368938802
242018557,,LARCENY SHOPLIFTING,D4,Wednesday,19,42.35095908794595,-71.07412780075079
242018559,,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,Tuesday  ,22,42.34905600030505,-71.15049849975023
242018772,,PROPERTY - LOST/ MISSING,E18,Thursday ,0,42.25621592040215,-71.12401947329023
242021305,,TOWED MOTOR VEHICLE,C6,Saturday ,2,42.33726583004466,-71.05653821526302
242021304,,SICK/INJURED/MEDICAL - PERSON,B2,Saturday ,1,42.34161991882588,-71.10215898490655
242021276,,ASSAULT - SIMPLE,A1,Friday   ,22,42.35387719466124,-71.05830207122234
242021287,,SICK ASSIST,E13,Saturday ,0,42.309718567672725,-71.10429431787648
242021023,,SICK ASSIST,C11,Friday   ,1,42.31201451087895,-71.0563227800223
242021294,,VERBAL DISPUTE,C11,Saturday ,0,42.31333949307122,-71.06424969860635
242021281,,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,Friday   ,23,42.3488660018097,-71.08936283930693
242021008,,M/V ACCIDENT - PROPERTY DAMAGE,B3,Friday   ,2,42.28156495479419,-71.08701696684585
242021052,,VANDALISM,A1,Thursday ,23,42.36484926206192,-71.05736027746894
242021547,,SICK ASSIST,C11,Saturday ,20,42.281052121442464,-71.04915820493729
242021539,,VANDALISM,B3,Saturday ,20,42.280612303395294,-71.08350145993505
